id|jcc_id|number|city|is_deleted|deleted_date
73|4|0411|Katagami|0|
74|4|0412|Daisen|0|
75|4|0413|Kitaakita|0|
76|4|0414|Nikaho|0|
77|4|0415|Senboku|0|
78|5|0501|Yamagata|0|
79|5|0502|Yonezawa|0|
80|5|0503|Tsuruoka|0|
81|5|0504|Sakata|0|
82|5|0505|Shinjo|0|
83|5|0506|Sagae|0|
84|5|0507|Kaminoyama|0|
85|5|0508|Murayama|0|
86|5|0509|Nagai|0|
87|5|0510|Tendo|0|
88|5|0511|Higashine|0|
89|5|0512|Obanazawa|0|
90|5|0513|Nan'yo|0|
91|6|0601|Sendai|0|
92|6|0602|Ishinomaki|0|
93|6|0603|Shiogama|0|
94|6|0604|Furukawa|1|2006-11-30
95|6|0605|Kesennuma|0|
96|6|0606|Shiroishi|0|
97|6|0607|Natori|0|
98|6|0608|Kakuda|0|
99|6|0609|Tagajo|0|
100|6|0610|Izumi|1|1988-02-29
101|6|0611|Iwanuma|0|
102|6|0612|Tome|0|
103|6|0613|Kuruhara|0|
104|6|0614|Higashimatsushima|0|
105|6|0615|Osaki|0|
106|6|0616|Tomiya|0|
107|7|0701|Fukushima|0|
108|7|0702|Aizuwakamatsu|0|
109|7|0703|Koriyama|0|
110|7|0704|Taira|1|1996-09-30
111|7|0705|Shirakawa|0|
112|7|0706|Haramachi|1|2005-12-31
113|7|0707|Sukagawa|0|
114|7|0708|Kitakata|0|
115|7|0709|Joban|1|1996-09-30
116|7|0710|Iwaki|1|1966-09-30
117|7|0711|Soma|0|
118|7|0712|Uchigo|1|1966-09-30
119|7|0713|Nakoso|1|1966-09-30
120|7|0714|Nihonmatsu|0|
121|7|0715|Iwaki|0|
122|7|0716|Wakamatsu|1|1954-12-31
123|7|0717|Tamura|0|
124|7|0718|Minamisoma|0|
125|7|0719|Date|0|
126|7|0720|Motomiya|0|
127|8|0801|Niigata|0|
128|8|0802|Nagaoka|0|
129|8|0803|Takada|1|1971-04-28
130|8|0804|Sanjo|0|
131|8|0805|Kashiwazaki|0|
132|8|0806|Shibata|0|
133|8|0807|Niitsu|1|2005-03-20
134|8|0808|Ojiya|0|
135|8|0809|Kamo|0|
136|8|0810|Tokamachi|0|
137|8|0811|Mitsuke|0|
138|8|0812|Murakami|0|
139|8|0813|Tsubame|0|
140|8|0814|Naoetsu|1|1971-04-28
141|8|0815|Tochio|1|
142|8|0816|Itoigawa|0|
143|8|0817|Arai|1|2005-03-31
144|8|0818|Gosen|0|
145|8|0819|Ryotsu|1|2004-02-29
146|8|0820|Shirone|1|2005-3--20
147|8|0821|Toyosaka|1|2005-03-20
148|8|0822|Joetsu|0|
149|8|0823|Agano|0|
150|8|0824|Sado|0|
151|8|0825|Uonuma|0|
152|8|0826|Minamiuonuma|0|
153|8|0827|Myoko|0|
154|8|0828|Tainai|0|
155|9|0901|Nagano|0|
156|9|0902|Matsumoto|0|
157|9|0903|Ueda|0|
158|9|0904|Okaya|0|
159|9|0905|Iida|0|
160|9|0906|Suwa|0|
161|9|0907|Suzaka|0|
162|9|0908|Komoro|0|
163|9|0909|Ina|0|
164|9|0910|Komagane|0|
165|9|0911|Nakano|0|
166|9|0912|Omachi|0|
167|9|0913|Iiyama|0|
168|9|0914|Chino|0|
169|9|0915|Shiojiri|0|
170|9|0916|Shinonoi|1|1966-10-15
171|9|0917|Koshoku|1|2003-08-31
172|9|0918|Saku|0|
173|9|0919|Chikuma|0|
174|9|0920|Tomi|0|
